local dataset name,factor_name,value
DEMO Tallinn,settlement_to_forestland--belowground_biomass,0
DEMO Tallinn,settlement_to_forestland--dead_wood,0
DEMO Tallinn,settlement_to_forestland--litter,0
DEMO Tallinn,settlement_to_forestland--mineral_soil,0
DEMO Tallinn,settlement_to_forestland--organic_soil,0
DEMO Tallinn,otherland_to_forestland--aboveground_biomass,0
DEMO Tallinn,otherland_to_forestland--belowground_biomass,0
DEMO Tallinn,otherland_to_forestland--dead_wood,0
DEMO Tallinn,otherland_to_forestland--litter,0
DEMO Tallinn,otherland_to_forestland--mineral_soil,0
DEMO Tallinn,otherland_to_forestland--organic_soil,0
DEMO Tallinn,forestland_to_cropland--aboveground_biomass,0
DEMO Tallinn,forestland_to_cropland--belowground_biomass,0
DEMO Tallinn,forestland_to_cropland--dead_wood,0
DEMO Tallinn,forestland_to_cropland--litter,0
DEMO Tallinn,forestland_to_cropland--mineral_soil,0
DEMO Tallinn,forestland_to_cropland--organic_soil,0
DEMO Tallinn,grassland_to_cropland--aboveground_biomass,-54.46
DEMO Tallinn,grassland_to_cropland--belowground_biomass,-12.83
DEMO Tallinn,grassland_to_cropland--dead_wood,-0.826191509
DEMO Tallinn,grassland_to_cropland--litter,0
DEMO Tallinn,grassland_to_cropland--mineral_soil,0.079714739
DEMO Tallinn,grassland_to_cropland--organic_soil,-1.428363157
DEMO Tallinn,wetland_to_cropland--aboveground_biomass,0.174652372
DEMO Tallinn,wetland_to_cropland--belowground_biomass,0
DEMO Tallinn,wetland_to_cropland--dead_wood,0.002159744
DEMO Tallinn,wetland_to_cropland--litter,0
DEMO Tallinn,wetland_to_cropland--mineral_soil,0.563005464
DEMO Tallinn,wetland_to_cropland--organic_soil,-6.1
DEMO Tallinn,settlement_to_cropland--aboveground_biomass,0.165317538
DEMO Tallinn,settlement_to_cropland--belowground_biomass,0
DEMO Tallinn,settlement_to_cropland--dead_wood,0.00204431
DEMO Tallinn,settlement_to_cropland--litter,0
DEMO Tallinn,settlement_to_cropland--mineral_soil,0
DEMO Tallinn,settlement_to_cropland--organic_soil,-1.428363157
DEMO Tallinn,otherland_to_cropland--aboveground_biomass,0.174843269
DEMO Tallinn,otherland_to_cropland--belowground_biomass,0
DEMO Tallinn,otherland_to_cropland--dead_wood,0.002162104
DEMO Tallinn,otherland_to_cropland--litter,0
DEMO Tallinn,otherland_to_cropland--mineral_soil,0.11
DEMO Tallinn,otherland_to_cropland--organic_soil,0
DEMO Tallinn,forestland_to_grassland--aboveground_biomass,0.174843269
DEMO Tallinn,forestland_to_grassland--belowground_biomass,0
DEMO Tallinn,forestland_to_grassland--dead_wood,0.002162104
DEMO Tallinn,forestland_to_grassland--litter,0
DEMO Tallinn,forestland_to_grassland--mineral_soil,0.11
DEMO Tallinn,forestland_to_grassland--organic_soil,0
DEMO Tallinn,cropland_to_grassland--aboveground_biomass,0
DEMO Tallinn,cropland_to_grassland--belowground_biomass,0
DEMO Tallinn,cropland_to_grassland--dead_wood,0
DEMO Tallinn,cropland_to_grassland--litter,0
DEMO Tallinn,cropland_to_grassland--mineral_soil,0
DEMO Tallinn,cropland_to_grassland--organic_soil,-1.741
DEMO Tallinn,wetland_to_grassland--aboveground_biomass,0
DEMO Tallinn,wetland_to_grassland--belowground_biomass,0
DEMO Tallinn,wetland_to_grassland--dead_wood,0
DEMO Tallinn,wetland_to_grassland--litter,0
DEMO Tallinn,wetland_to_grassland--mineral_soil,0
DEMO Tallinn,wetland_to_grassland--organic_soil,0
DEMO Tallinn,settlement_to_grassland--aboveground_biomass,0
DEMO Tallinn,settlement_to_grassland--belowground_biomass,0
DEMO Tallinn,settlement_to_grassland--dead_wood,0
DEMO Tallinn,settlement_to_grassland--litter,0
DEMO Tallinn,settlement_to_grassland--mineral_soil,0
